"N","param","mean","bias","rmse","conv_fail_rate"
30,"gamma_p",1.03346385125316,0.0334638512531624,0.103473428791553,0
30,"gamma_o",6.48007234818003,0.480072348180034,0.970738403082347,0
30,"lambda",1.03715385384982,0.0371538538498195,0.113016514996679,0
100,"gamma_p",1.0137220167961,0.0137220167961016,0.0986372277605289,0
100,"gamma_o",6.3482261609285,0.3482261609285,1.08155467514098,0
100,"lambda",1.02369160366114,0.0236916036611357,0.108054188037298,0
300,"gamma_p",1.01688581742576,0.0168858174257596,0.107425109707517,0.00666666666666667
300,"gamma_o",6.22699109160534,0.226991091605337,1.03817643319132,0.00666666666666667
300,"lambda",1.02079308640084,0.0207930864008399,0.109757548651634,0.00666666666666667
